MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
30,5171,-20.8692,29.1155,47.9335,1,0
30,5172,-19.978,29.2252,47.8098,1,0
30,5541,-21.5733,29.4693,48.4183,1,0
30,5543,-19.5297,29.802,48.242,1,0
30,5548,-21.068,30.145,48.864,1,0
30,5550,-19.1064,30.347,48.6887,2,0
30,5544,-18.5006,29.9191,48.113,1,0
30,5551,-18.1711,30.4356,48.5628,1,0
30,5931,-19.6188,30.8139,49.2541,1,0
30,5932,-18.6918,30.8786,49.1588,1,0
30,5930,-20.6054,30.7376,49.3221,2,0
30,5929,-21.6183,30.6387,49.3849,1,0
30,5938,-21.1056,31.2282,49.839,1,0
30,5939,-20.0933,31.2924,49.793,1,0
31,5775,-19.9745,6.12012,49.6924,0,0
31,5775,-19.9745,6.12012,49.6924,3,0
31,5776,-20.2811,5.51869,50.1226,2,0
31,5777,-20.7409,6.08489,49.9534,1,0
31,5779,-19.5329,5.2658,50.0363,1,0
31,6178,-21.1273,5.59418,50.3606,1,0
31,6168,-20.0677,4.76824,50.5062,1,0
31,5778,-18.9748,5.66199,49.6418,2,0
31,5765,-18.7407,5.02772,49.9385,1,0
31,5763,-17.9662,5.1,49.6824,1,0
31,5780,-18.2224,5.82006,49.3323,1,0
31,5789,-19.2613,6.4193,49.3062,1,0
31,5785,-21.0279,6.82826,49.66,2,0
31,5786,-21.4128,6.31319,50.0537,1,0
31,5787,-21.8534,6.86523,49.9172,1,0
31,5788,-20.2541,6.92689,49.3517,1,0
31,5796,-21.9898,7.56289,49.6259,1,0
31,5798,-21.2306,7.65698,49.3157,1,0
32,5776,-20.2811,5.51869,50.1226,0,0
32,5776,-20.2811,5.51869,50.1226,3,0
32,5775,-19.9745,6.12012,49.6924,2,0
32,5777,-20.7409,6.08489,49.9534,1,0
32,5778,-18.9748,5.66199,49.6418,1,0
32,5779,-19.5329,5.2658,50.0363,1,0
32,5785,-21.0279,6.82826,49.66,1,0
32,5788,-20.2541,6.92689,49.3517,1,0
32,5789,-19.2613,6.4193,49.3062,1,0
32,6178,-21.1273,5.59418,50.3606,2,0
32,6176,-21.9802,5.5745,50.6638,1,0
32,6165,-21.0593,4.92883,50.7311,1,0
32,6168,-20.0677,4.76824,50.5062,1,0
32,5786,-21.4128,6.31319,50.0537,1,0
32,6185,-22.2121,6.33793,50.3215,1,0
33,5789,-19.2613,6.4193,49.3062,0,0
33,5789,-19.2613,6.4193,49.3062,3,0
33,5775,-19.9745,6.12012,49.6924,2,0
33,5776,-20.2811,5.51869,50.1226,1,0
33,5777,-20.7409,6.08489,49.9534,1,0
33,5778,-18.9748,5.66199,49.6418,1,0
33,5779,-19.5329,5.2658,50.0363,1,0
33,5785,-21.0279,6.82826,49.66,1,0
33,5788,-20.2541,6.92689,49.3517,1,0
33,5410,-18.4338,6.42975,49.0436,2,0
33,5409,-18.1563,6.92298,48.678,1,0
33,5411,-18.9222,6.92979,48.9162,1,0
33,5413,-17.6479,6.19865,48.9395,1,0
33,5780,-18.2224,5.82006,49.3323,1,0
